Keyword,CatID,CatID_fixed,map_status,note
rifle reload,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
magic explosion,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
magic fireball,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
fireball impact,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
magic bolt,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
fire spell,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
ice spell,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
lightning spell,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
elemental spell,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
weapon impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
gun impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
bullet impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
rifle impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
pistol impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
shotgun impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
laser impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
plasma impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
energy impact,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
weapon reload,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
weapon handling,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
weapon handle,MISC,,AMBIGUOUS,SubCategory 'MISC' maps to 77 CatIDs
fire sword,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
ice sword,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
fire arrow,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
ice arrow,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
explosive arrow,ELEMENTAL,,AMBIGUOUS,SubCategory 'ELEMENTAL' maps to 2 CatIDs
beam hit,IMPACT,,AMBIGUOUS,SubCategory 'IMPACT' maps to 23 CatIDs
spaceship engine,MACHINE,,AMBIGUOUS,SubCategory 'MACHINE' maps to 2 CatIDs
spaceship door,DOOR,,AMBIGUOUS,SubCategory 'DOOR' maps to 5 CatIDs
spaceship hatch,DOOR,,AMBIGUOUS,SubCategory 'DOOR' maps to 5 CatIDs
spaceship alarm,ALARM,,AMBIGUOUS,SubCategory 'ALARM' maps to 2 CatIDs
engine reactor,MACHINE,,AMBIGUOUS,SubCategory 'MACHINE' maps to 2 CatIDs
reactor core,MACHINE,,AMBIGUOUS,SubCategory 'MACHINE' maps to 2 CatIDs
reactor hum,MACHINE,,AMBIGUOUS,SubCategory 'MACHINE' maps to 2 CatIDs
reactor meltdown,MACHINE,,AMBIGUOUS,SubCategory 'MACHINE' maps to 2 CatIDs
reactor startup,MACHINE,,AMBIGUOUS,SubCategory 'MACHINE' maps to 2 CatIDs
reactor shutdown,MACHINE,,AMBIGUOUS,SubCategory 'MACHINE' maps to 2 CatIDs
