Keyword,CatID
behemoth alerted,CREAMisc
behemoth attack,CREAMisc
behemoth death,CREAMisc
behemoth idle,CREAMisc
behemoth pain,CREAMisc
behemoth scream,CREAMisc
herbonomad alerted,CREAMisc
herbonomad attack,CREAMisc
herbonomad death,CREAMisc
herbonomad idle,CREAMisc
herbonomad pain,CREAMisc
herbonomad scream,CREAMisc
leviathan alerted,CREAMisc
leviathan attack,CREAMisc
leviathan death,CREAMisc
leviathan idle,CREAMisc
leviathan pain,CREAMisc
leviathan scream,CREAMisc
apex predator alerted,CREAMisc
apex predator attack,CREAMisc
apex predator death,CREAMisc
apex predator pain,CREAMisc
apex predator scream,CREAMisc
arachnohive alerted,CREAMisc
moonlet stalker alerted,CREAMisc
moonlet stalker attack,CREAMisc
moonlet stalker death,CREAMisc
anarchion death,CREAMisc
anarchion idle,CREAMisc
anarchion pain,CREAMisc
hunter pain,CREAMisc
hunter scream,CREAMisc
xenoraptor alerted,CREAMisc
cosmic leech alerted,CREAMisc
cosmic leech attack,CREAMisc
cosmic leech death,CREAMisc
morphosapien death,CREAMisc
morphosapien idle,CREAMisc
harbor seal breath airy,ANMLAqua
harbor seal groan growl,ANMLAqua
harbor seal groan grunt hard,ANMLAqua
harbor seal groan grunt,ANMLAqua
harbor seal groan grunt snort long,ANMLAqua
harbor seal groan grunt soft,ANMLAqua
harbor seal groan snort subtle,ANMLAqua
harbor seal grunt groan punchy,ANMLAqua
harbor seal grunt punchy hard,ANMLAqua
harbor seal grunt punchy soft,ANMLAqua
harbor seal grunt short punchy,ANMLAqua
harbor seal snort punchy,ANMLAqua
humpback whale moan,ANMLAqua
humpback whale scream,ANMLAqua
humpback whale scream high,ANMLAqua
humpback whale scream long,ANMLAqua
humpback whale snarl long,ANMLAqua
chihuahua growl long low,ANMLDog
chihuahua growl long,ANMLDog
chihuahua growl high vicious,ANMLDog
chihuahua snarl hard vicious,ANMLDog
chihuahua snarl short high vicious,ANMLDog
chihuahua sneeze growl short,ANMLDog
chihuahua snort long hard,ANMLDog
chihuahua snort long,ANMLDog
chihuahua snort hard,ANMLDog
donkey bray shriek agitated,ANMLFarm
donkey bray shriek desperate,ANMLFarm
donkey bray shriek distressed,ANMLFarm
donkey bray shriek hungry,ANMLFarm
donkey bray shriek intense,ANMLFarm
donkey bray shriek mare,ANMLFarm
donkey bray shriek moan plaintive,ANMLFarm
donkey bray shriek stallion,ANMLFarm
donkey bray shriek stallion soft long,ANMLFarm
donkey breath tonal short,ANMLFarm
donkey shriek anxious,ANMLFarm
donkey shriek scream high short,ANMLFarm
donkey snort mare hard,ANMLFarm
donkey snort short hard,ANMLFarm
donkey snort short soft,ANMLFarm
pig breath grunt,ANMLFarm
pig grunt aggressive attack short,ANMLFarm
pig grunt aggressive raspy,ANMLFarm
pig grunt calm,ANMLFarm
pig grunt deep low,ANMLFarm
pig grunt excited long,ANMLFarm
pig grunt idle short low,ANMLFarm
pig grunt idle,ANMLFarm
pig grunt long soft,ANMLFarm
pig grunt raspy long angry,ANMLFarm
pig grunt squeal angry,ANMLFarm
pig grunt squeal long,ANMLFarm
pig grunt very short,ANMLFarm
pig wimborne charging squeal,ANMLFarm
pig wimborne oink,ANMLFarm
pig wimborne squeal long,ANMLFarm
pig wimborne yelp,ANMLFarm
piglet gibber,ANMLFarm
piglet grunt high raspy dull,ANMLFarm
piglet grunt short,ANMLFarm
piglet grunt squeal,ANMLFarm
piglet grunt talking high complex,ANMLFarm
piglet scream charge,ANMLFarm
piglet scream short,ANMLFarm
piglet scream tremolo,ANMLFarm
piglet scream,ANMLFarm
piglet squeal aggressive raspy,ANMLFarm
piglet squeal complex angry,ANMLFarm
piglet squeal long,ANMLFarm
piglet squeal modulated,ANMLFarm
ram vocal,ANMLFarm
valais blacknose sheep baa low raspy,ANMLFarm
horse breath grunt movement,ANMLHors
horse nicker grunt breath,ANMLHors
horse nicker long,ANMLHors
horse nicker movement,ANMLHors
horse nicker neigh low,ANMLHors
horse nicker short,ANMLHors
pony nicker grunt,ANMLHors
horse stallion neigh curious,ANMLHors
asian palm civet growl moan,ANMLMisc
camel groan female bothered moaning,ANMLMisc
camel groan female tonal long,ANMLMisc
camel grunt female unhappy irritated,ANMLMisc
camel grunt female unhappy short,ANMLMisc
camel guttural growl female double fierce,ANMLMisc
camel guttural growl female short,ANMLMisc
camel guttural growl female throaty deep,ANMLMisc
camel guttural growl female throaty,ANMLMisc
camel guttural growl female tonal long,ANMLMisc
camel groan male angry short,ANMLMisc
camel groan male bellow deep low soft,ANMLMisc
camel groan male blubber gargle deep,ANMLMisc
camel growl male throaty long,ANMLMisc
camel growl male throaty very short,ANMLMisc
camel guttural male deep,ANMLMisc
camel guttural male growl aggressive,ANMLMisc
camel guttural male growl breath,ANMLMisc
camel guttural male long,ANMLMisc
lynx breath long,ANMLWcat
lynx breath short,ANMLWcat
tiger growl calm moan,ANMLWcat
tiger growl calm,ANMLWcat
tiger growl eating,ANMLWcat
tiger hiss hard,ANMLWcat
tiger hiss soft,ANMLWcat
tiger moan close,ANMLWcat
tiger moan lazy,ANMLWcat
tiger roar aggressive,ANMLWcat
tiger roar,ANMLWcat
tiger snarl tense,ANMLWcat
fox bark aggressive sequence,ANMLWild
fox bark sequence,ANMLWild
fox bark nervous sequence,ANMLWild
fox yap sequence,ANMLWild
honey badger chirp airy desperate sequence,ANMLWild
koala bellow constant,ANMLWild
tasmanian devil screech grunt female,ANMLWild
tasmanian devil squeal screech distressed female sequence,ANMLWild
tasmanian devil screech grunt juvenile sequence,ANMLWild
emu grunt short,BIRDMisc
emu thumping very low soft,BIRDMisc
emu thumping very low triplets,BIRDMisc
snow owl scream soft,BIRDPrey
snow owl scream,BIRDPrey
vulture breath tonal,BIRDPrey
vulture grunt long,BIRDPrey
vulture grunt stutter,BIRDPrey
vulture grunt tonal close,BIRDPrey
vulture grunt tonal,BIRDPrey
vulture grunt,BIRDPrey
cardboard box hand mixer slow,CREASrce
cardboard box hand mixer,CREASrce
cardboard box scrape knife circle,CREASrce
